"Manifest ID","Proposed ID (not reserved)","Week","Week start","Week end","Category","Name","Domain","Equipment","Dose draft","Rest draft","Patterns","Test relationship","Objectives","Source IDs","Evidence limitation","Distinctness","Primary demo brief","Teaching detail brief","Error correction brief","Review status","Publication hold"
"wb-011","PLY-501","1","2026-09-21","2026-09-27","plyometric","Two-foot jump-rope rebounds","plyometrics","jumpRope","1-2 sets x 8-12 contacts","60-90 seconds between sets","ankle and calf capacity; squat/lunge and knee extension","support","vertical_jump","NSCA2009; PJT2018; PJT2014","Program-level youth evidence does not isolate this variation. Direction, support, experience and dose matter; vertical training has not consistently improved sprint time.","Adds rope timing and constrained repeat contacts to the existing free pogo series; a coordination progression, not extra jump height.","Show two-foot jump-rope rebounds from setup to finish at normal speed. Keep the whole body and equipment visible. Turn the rope with the wrists. Clear it with a low quiet rebound using both feet. Stop and reset the rope when rhythm or landing control is lost. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Use a correctly sized rope on a level non-slip surface with clear overhead space. Begin with small two-foot jumps. Explain: Stay low and let the rope set the rhythm. Demonstrate the easier option: Step over a stationary rope before linking rebounds. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Large tiring jumps: slow the rope and reduce jump height. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-012","PLY-502","1","2026-09-21","2026-09-27","plyometric","Lateral two-foot line hops","plyometrics","markers","1-2 sets x 8-12 contacts","60-90 seconds between sets","ankle and calf capacity; squat/lunge and knee extension; hip force and control","support","planned_change_direction","NSCA2009; PJT2018; PJT2014","Program-level youth evidence does not isolate this variation. Direction, support, experience and dose matter; vertical training has not consistently improved sprint time.","Repeated small bilateral lateral rebounds differ from vertical pogos and large alternating lateral bounds.","Show lateral two-foot line hops from setup to finish at normal speed. Keep the whole body and equipment visible. Rebound sideways across the line with both feet together. Land softly and return across the line. Stop after the planned contacts before rhythm deteriorates. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Mark a low visual line on a clear level surface. Stand with both feet beside it and choose a narrow hop width. Explain: Keep the hops narrow and the knees soft. Demonstrate the easier option: Side-step across the line without hopping. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Drifting forward or widening: reduce width and reset. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-013","PLY-503","1","2026-09-21","2026-09-27","plyometric","Low-box jump with step-down","plyometrics","box","1-2 sets x 3-5 reps","15-30 seconds between reps; 60-90 seconds between sets","squat/lunge and knee extension; hip force and control; ankle and calf capacity","support","vertical_jump","NSCA2009; PJT2018; PJT2014","Program-level youth evidence does not isolate this variation. Direction, support, experience and dose matter; vertical training has not consistently improved sprint time.","Landing onto a low raised surface with a step-down differs from ground landing and excludes dropping from the box.","Show low-box jump with step-down from setup to finish at normal speed. Keep the whole body and equipment visible. Dip briefly and jump onto the box with both feet. Stand balanced after a quiet full-foot landing. Step down one foot at a time and reset on the floor. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Coach sets a stable low box that can be reached without excessive knee tucking. Clear the landing surface and provide a safe step-down route. Explain: Land tall enough to control the box, not in a deep tuck. Demonstrate the easier option: Unloaded ground jump and stick already in the library. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Box too high: lower it rather than pulling knees sharply upward. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-014","PLY-504","1","2026-09-21","2026-09-27","plyometric","Wall plyometric push-off","plyometrics","wall","1-2 sets x 3-5 reps","15-30 seconds between reps; 60-90 seconds between sets","upper-body push/support; trunk control","general","","NSCA2009; AAP2020","Upper-body reactive work is not established as a direct improvement to a PoseTek test. Coach must check apparatus, load and catch/support competence.","Introduces upper-body stretch-shortening practice; no direct six-test performance claim.","Show wall plyometric push-off from setup to finish at normal speed. Keep the whole body and equipment visible. Bend the elbows to approach the wall as one line. Push away quickly so the hands briefly leave the wall. Meet the wall softly with bent elbows and reset. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand facing a solid wall with hands at chest height. Coach selects a shallow body angle and checks the wall surface. Explain: Use a small controlled push-off. Demonstrate the easier option: Slow wall push-up without leaving the wall. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Stiff-arm return: reduce the angle and catch softly. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-015","SPD-502","1","2026-09-21","2026-09-27","speedCod","Two-point split-stance acceleration","speed","cones","1-2 sets x 2-3 reps each side","90-120 seconds between reps; 120-180 seconds between sets","hip force and control; squat/lunge and knee extension; posterior-chain and knee-flexion capacity; ankle and calf capacity","direct","short_sprint","SPRINT2021; CONSENSUS2014","The cited sprint trial studied individually resisted sprinting, not this exact start/route. The link is task/movement-family rationale, not exercise-specific proof or a load recommendation.","A stable upright split start is a teachable alternative to falling and push-up starts, with no balance-loss or floor transition.","Show two-point split-stance acceleration from setup to finish at normal speed. Keep the whole body and equipment visible. Lean slightly from the ankles with one foot forward. Push into the first steps and accelerate smoothly through the finish. Slow down gradually beyond the finish and walk back. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Mark a 10-m running lane and generous slowing zone. Set a stationary split stance with no falling or floor start. Explain: Push the ground behind you during the first steps. Demonstrate the easier option: March into a gentle 5-m acceleration. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Popping upright immediately: use a shorter relaxed effort. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-016","AGL-501","1","2026-09-21","2026-09-27","speedCod","Lateral shuffle braking","agility","cones","1-2 sets x 2-3 reps each side","90-120 seconds between reps; 120-180 seconds between sets","frontal-plane hip control; squat/lunge and knee extension; hip force and control","direct","planned_change_direction","COD2019; CONSENSUS2014","The controlled study used a small older-male sample and different coached tasks. A shuttle result alone cannot diagnose braking or cutting mechanics.","Braking from a lateral shuffle differs from the existing forward-running deceleration gate.","Show lateral shuffle braking from setup to finish at normal speed. Keep the whole body and equipment visible. Shuffle sideways without crossing the feet. Use shorter final steps to reduce speed. Finish balanced at the end mark and walk back. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Mark a 3-m sideways lane with an extra clear stopping zone. Begin at a moderate shuffle pace. Explain: Lower gradually before the stop. Demonstrate the easier option: Side-walk and stop in balance. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Crossing the feet at the stop: reduce entry speed. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-017","SPD-503","1","2026-09-21","2026-09-27","speedCod","Wide-arc curved acceleration","speed","cones","1-2 sets x 2-3 reps each side","90-120 seconds between reps; 120-180 seconds between sets","hip force and control; squat/lunge and knee extension; posterior-chain and knee-flexion capacity; ankle and calf capacity","support","short_sprint","SPRINT2021; CONSENSUS2014","The cited sprint trial studied individually resisted sprinting, not this exact start/route. The link is task/movement-family rationale, not exercise-specific proof or a load recommendation.","Continuous curved running differs from straight build-and-fly work and a single planted cut; direct sprint-test transfer is uncertain.","Show wide-arc curved acceleration from setup to finish at normal speed. Keep the whole body and equipment visible. Build speed gradually along the arc. Lean slightly with the whole body rather than bending at the waist. Run through the exit and slow down in open space. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Set cones along a gentle 15-m arc with a clear exit. Choose a wide radius and dry consistent surface. Explain: Let the curve guide the lean. Demonstrate the easier option: Jog the same wide arc. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Cutting sharply between cones: widen the arc and slow down. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-018","RCV-501","1","2026-09-21","2026-09-27","ball","Self-drop instep cushion receive","receiving","ball; markers","1-2 sets x 6-8 reps each side","30-60 seconds between sets","hip force and control; squat/lunge and knee extension","general","","FIFA_RECEIVE2023; USYS2017","Official coaching guidance supports the skill family; this authored drill and draft dose have no isolated intervention proof. No direct change in dribbling time or shot speed is promised.","Introduces an explicit aerial-to-ground instep cushion rather than receiving a ground pass under pressure.","Show self-drop instep cushion receive from setup to finish at normal speed. Keep the whole body and equipment visible. Drop the ball from around waist height. Meet it with the instep and soften the receiving leg. Let the ball settle within one step then pick it up to reset. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand inside a small marked control area with a ball. Use a low self-drop and no overhead service. Explain: Give with the ball rather than kicking it upward. Demonstrate the easier option: Drop and trap after one ground bounce. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Ball bouncing away: use a lower drop and softer contact. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-019","BMA-504","1","2026-09-21","2026-09-27","ball","Drop-bounce instep juggling","ballMastery","ball","1-2 sets x 6-8 reps each side","30-60 seconds between sets","hip force and control; squat/lunge and knee extension","general","","FA_PASS2022; USYS2017","Official coaching guidance supports the skill family; this authored drill and draft dose have no isolated intervention proof. No direct change in dribbling time or shot speed is promised.","Aerial rebound timing differs from ground toe taps and foundations; progression develops ball familiarity rather than measured dribble speed.","Show drop-bounce instep juggling from setup to finish at normal speed. Keep the whole body and equipment visible. Drop the ball and let it bounce once. Lift it with a gentle instep touch no higher than waist level. Let it bounce again and repeat before catching to reset. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Use one ball in a clear personal space. Begin with a hand drop and allow a ground bounce between touches. Explain: Keep touches low and the ankle steady. Demonstrate the easier option: One drop, one touch and a catch. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Kicking too hard: catch and restart with a smaller touch. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-020","PAS-501","1","2026-09-21","2026-09-27","ball","Outside-foot ground pass","passing","ball; cones","1-2 sets x 6-8 passes each side","30-60 seconds between sets","hip force and control; squat/lunge and knee extension","general","","FA_PASS2022; USYS2017","Official coaching guidance supports the skill family; this authored drill and draft dose have no isolated intervention proof. No direct change in dribbling time or shot speed is promised.","Teaches a different passing contact surface rather than another inside-foot passing gate or inside-outside dribble.","Show outside-foot ground pass from setup to finish at normal speed. Keep the whole body and equipment visible. Place the support foot beside the ball. Use the outer instep to send the ball through the gate. Follow the pass naturally and retrieve it before changing feet. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Set a wide target gate 3-5 m away with a clear return path. Begin with a stationary ball and comfortable stance. Explain: Use a small controlled swing. Demonstrate the easier option: Shorter outside-foot pass through a wider gate. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Forcing the ankle sideways: reduce power and review the contact surface. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-021","STR-513","2","2026-09-28","2026-10-04","strength","Dumbbell Romanian deadlift","strength","dumbbells","1-2 sets x 6-8 reps","60-90 seconds between sets","hip force and control; posterior-chain and knee-flexion capacity; trunk control","support","horizontal_jump","NSCA2009; AAP2020; NEGRA2016","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Bilateral loaded lengthening hinge differs from the existing unweighted single-leg reach and elevated deadlift starting on a block.","Show dumbbell romanian deadlift from setup to finish at normal speed. Keep the whole body and equipment visible. Soften the knees and send the hips backward. Lower the weights close to the legs while the back stays steady. Drive the hips forward to stand without leaning back. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand with coach-selected dumbbells at the thighs. Choose a hinge depth that maintains control rather than reaching the floor. Explain: Stop the descent when the hips can no longer move back comfortably. Demonstrate the easier option: Practise the hinge without weights. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Turning it into a deep squat: keep a small stable knee bend. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-022","STR-514","2","2026-09-28","2026-10-04","strength","Low-box dumbbell step-up","strength","dumbbells; box","1-2 sets x 6-8 reps each side","60-90 seconds between sets","squat/lunge and knee extension; hip force and control; trunk control","support","vertical_jump","NSCA2009; AAP2020; NEGRA2016","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Adds single-leg stepping through a raised support; distinct from a ground-level lunge.","Show low-box dumbbell step-up from setup to finish at normal speed. Keep the whole body and equipment visible. Place one foot fully on the box. Rise through the leading leg while keeping the pelvis level. Step down slowly and reset on the same side. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Use a stable low box that allows the full leading foot to fit. Hold coach-selected weights and leave clear space around it. Explain: Use the upper leg rather than bouncing off the floor. Demonstrate the easier option: Unloaded step-up onto a lower platform. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Pushing hard with the trailing foot: reduce box height or load. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-023","STR-515","2","2026-09-28","2026-10-04","strength","Standing single-arm cable row","strength","cableMachine","1-2 sets x 6-8 reps each side","60-90 seconds between sets","upper-body pull/scapular control; trunk control","general","","NSCA2009; AAP2020","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Adds unilateral pulling with anti-rotation, unlike the bilateral chest-supported row.","Show standing single-arm cable row from setup to finish at normal speed. Keep the whole body and equipment visible. Reach the working arm forward without rounding. Pull the handle toward the ribs with the torso facing ahead. Return slowly and keep the stance still. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand facing a chest-height cable in a stable split stance. Select a light coach-approved load. Explain: Keep the belt buckle facing the machine. Demonstrate the easier option: Use both hands on the handle with a stable stance. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Twisting to finish the row: reduce load and shorten the pull. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-024","STR-516","2","2026-09-28","2026-10-04","strength","Half-kneeling dumbbell overhead press","strength","dumbbells; kneePad","1-2 sets x 6-8 reps each side","60-90 seconds between sets","upper-body push/support; trunk control","general","","NSCA2009; AAP2020","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Introduces vertical pressing with reduced leg assistance and a visible trunk-control requirement.","Show half-kneeling dumbbell overhead press from setup to finish at normal speed. Keep the whole body and equipment visible. Set the ribs above the pelvis. Press upward through a comfortable shoulder range. Lower smoothly without leaning backward. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Kneel on one knee with the other foot forward. Hold one light coach-selected dumbbell at shoulder height on the kneeling side. Explain: Finish tall rather than arching the lower back. Demonstrate the easier option: Seated light dumbbell press with back support. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Side leaning: use less weight and widen the kneeling base. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
